Time;Angle;RSSI
0.15; -0.30062; -48.00
0.25; -0.31578; -49.00
0.46; -0.32552; -49.00
0.56; -0.33506; -50.00
0.76; -0.33602; -48.00
1.06; -0.32167; -48.00
1.27; -0.32197; -45.00
1.37; -0.31224; -50.00
1.47; -0.29756; -48.00
1.57; -0.28608; -45.00
1.77; -0.27955; -51.00
1.88; -0.28730; -49.00
2.08; -0.29592; -48.00
2.19; -0.29833; -54.00
2.29; -0.31742; -57.00
2.38; -0.34497; -51.00
2.49; -0.37408; -65.00
2.59; -0.40475; -57.00
2.70; -0.45111; -52.00
2.80; -0.51551; -53.00
2.89; -0.58703; -57.00
2.99; -0.67840; -57.00
3.09; -0.79100; -60.00
3.20; -0.91946; -61.00
3.40; -1.25114; -61.00
3.50; -1.41774; -58.00
3.61; -1.62806; -58.00
3.71; -1.82147; -64.00
3.81; -1.99972; -54.00
3.91; -2.18327; -70.00
4.22; -2.64608; -73.00
4.32; -2.73639; -55.00
4.52; -2.96996; -50.00
4.73; 3.02812; -44.00
4.83; 2.89227; -44.00
5.03; 2.68562; -43.00
5.13; 2.58828; -46.00
5.34; 2.35954; -44.00
5.44; 2.25368; -44.00
5.75; 1.98735; -44.00
5.95; 1.81159; -43.00
6.26; 1.54388; -49.00
6.37; 1.47203; -48.00
6.47; 1.41223; -49.00
6.57; 1.35374; -48.00
6.67; 1.29683; -45.00
6.77; 1.24669; -45.00
6.87; 1.19402; -43.00
6.97; 1.14313; -41.00
7.07; 1.09959; -42.00
7.17; 1.06399; -42.00
7.27; 1.02904; -42.00
7.37; 0.99939; -42.00
7.57; 0.90572; -44.00
7.67; 0.84314; -48.00
7.78; 0.77242; -46.00
7.88; 0.69396; -47.00
8.38; 0.19494; -59.00
8.49; 0.01920; -48.00
8.59; -0.13731; -51.00
8.79; -0.40557; -54.00
8.90; -0.55876; -55.00
9.00; -0.71272; -57.00
9.11; -0.86026; -57.00
9.21; -1.00631; -53.00
9.31; -1.16027; -62.00
9.41; -1.31502; -59.00
9.51; -1.47735; -63.00
9.61; -1.63381; -57.00
9.72; -1.80609; -58.00
10.02; -2.24783; -65.00
10.13; -2.39624; -57.00
10.23; -2.52136; -53.00
10.33; -2.63707; -60.00
10.43; -2.74792; -55.00
10.53; -2.86896; -49.00
10.74; -3.05268; -50.00
10.84; 3.13866; -43.00
10.94; 3.05194; -44.00
11.04; 2.98300; -46.00
11.14; 2.90483; -44.00
11.24; 2.81261; -43.00
11.35; 2.71408; -45.00
11.45; 2.57800; -42.00
11.65; 2.21094; -45.00
11.75; 1.99766; -44.00
11.95; 1.66619; -39.00
12.16; 1.38088; -48.00
12.36; 1.10230; -42.00
12.46; 0.96118; -41.00
12.67; 0.66857; -49.00
12.77; 0.54462; -51.00
12.86; 0.41637; -53.00
12.97; 0.29269; -47.00
13.07; 0.18219; -52.00
13.27; -0.09628; -50.00
13.48; -0.38517; -57.00
13.58; -0.54662; -54.00
13.78; -0.99553; -59.00
13.88; -1.26552; -59.00
13.99; -1.57646; -59.00
14.09; -1.86654; -59.00
14.29; -2.41667; -54.00
14.39; -2.68007; -52.00
14.49; -2.90429; -52.00
14.59; -3.13859; -46.00
14.90; 2.47928; -44.00
15.00; 2.26858; -44.00
15.10; 2.04293; -44.00
15.21; 1.83681; -46.00
15.42; 1.41033; -41.00
15.62; 1.01229; -42.00
16.02; 0.28716; -53.00
16.12; 0.10713; -52.00
16.23; -0.07319; -54.00
16.33; -0.24215; -52.00
16.43; -0.41043; -55.00
16.63; -0.76218; -54.00
16.74; -0.93930; -61.00
16.84; -1.10421; -55.00
17.15; -1.62142; -77.00
17.56; -2.27402; -64.00
17.76; -2.56782; -57.00
17.87; -2.71897; -56.00
18.07; -2.96762; -46.00
18.17; -3.08720; -47.00
18.27; 3.08039; -48.00
18.37; 2.97473; -47.00
18.47; 2.86795; -47.00
18.67; 2.57915; -42.00
18.88; 2.17391; -44.00
18.98; 1.97566; -43.00
19.09; 1.75357; -44.00
19.19; 1.56560; -48.00
19.29; 1.38243; -41.00
19.39; 1.21580; -46.00
19.49; 1.06139; -43.00
19.80; 0.62757; -43.00
20.00; 0.33575; -47.00
20.20; 0.04323; -58.00
20.31; -0.10330; -52.00
20.41; -0.23093; -50.00
20.51; -0.36725; -53.00
20.61; -0.50416; -53.00
20.71; -0.63805; -51.00
20.92; -0.89901; -54.00
21.02; -1.02828; -54.00
21.12; -1.18634; -59.00
21.22; -1.32700; -51.00
21.53; -1.72028; -61.00
21.63; -1.89800; -64.00
21.83; -2.37853; -62.00
21.93; -2.59563; -60.00
22.13; -3.06775; -44.00
22.43; 2.62633; -46.00
22.54; 2.44683; -46.00
22.84; 1.92726; -45.00
23.15; 1.42755; -42.00
