Time;Angle;RSSI
0.09; -0.28530; -59.00
0.29; -0.32243; -61.00
0.49; -0.32865; -62.00
0.59; -0.33716; -61.00
0.69; -0.33561; -63.00
0.90; -0.32654; -55.00
1.00; -0.31523; -63.00
1.10; -0.32828; -62.00
1.20; -0.32819; -61.00
1.40; -0.30449; -62.00
1.51; -0.29307; -59.00
1.60; -0.28299; -59.00
1.81; -0.28169; -55.00
1.91; -0.29026; -60.00
2.11; -0.29685; -63.00
2.22; -0.30215; -61.00
2.42; -0.35571; -57.00
2.72; -0.46512; -53.00
3.13; -0.83275; -58.00
3.23; -0.96249; -59.00
3.33; -1.11493; -61.00
3.43; -1.29124; -63.00
3.53; -1.47556; -61.00
3.64; -1.68064; -61.00
3.84; -2.05425; -63.00
3.94; -2.23685; -63.00
4.04; -2.40431; -62.00
4.15; -2.55459; -68.00
4.55; -3.00140; -76.00
4.65; 3.14154; -60.00
4.76; 2.99279; -59.00
4.96; 2.75146; -65.00
5.16; 2.56264; -62.00
5.26; 2.44206; -63.00
5.47; 2.22102; -59.00
5.67; 2.04437; -60.00
5.77; 1.96879; -62.00
5.88; 1.87821; -55.00
5.98; 1.78256; -56.00
6.08; 1.69517; -57.00
6.18; 1.60880; -56.00
6.28; 1.52862; -56.00
6.39; 1.45978; -59.00
6.59; 1.33848; -59.00
6.90; 1.17581; -57.00
7.00; 1.12655; -55.00
7.10; 1.08779; -62.00
7.21; 1.04961; -55.00
7.30; 1.01884; -56.00
7.41; 0.98744; -61.00
7.51; 0.94350; -60.00
7.61; 0.88423; -56.00
7.71; 0.81968; -75.00
7.81; 0.74942; -61.00
7.91; 0.66767; -60.00
8.01; 0.59552; -55.00
8.11; 0.51888; -54.00
8.21; 0.41950; -62.00
8.31; 0.29879; -66.00
8.52; -0.03074; -63.00
8.62; -0.17981; -58.00
8.82; -0.44885; -57.00
9.13; -0.88877; -55.00
9.23; -1.03658; -58.00
9.33; -1.19425; -65.00
9.43; -1.34145; -65.00
9.73; -1.83368; -59.00
9.83; -1.99142; -58.00
9.93; -2.12824; -65.00
10.24; -2.53800; -68.00
10.35; -2.65451; -70.00
10.45; -2.77134; -68.00
10.55; -2.89044; -70.00
10.65; -2.97945; -66.00
10.75; -3.05680; -68.00
10.96; 3.04089; -73.00
11.27; 2.79475; -68.00
11.36; 2.68940; -66.00
11.47; 2.53876; -64.00
11.57; 2.35388; -61.00
11.67; 2.16345; -58.00
11.87; 1.77499; -60.00
11.97; 1.64015; -54.00
12.07; 1.49918; -61.00
12.28; 1.21591; -57.00
12.38; 1.07429; -62.00
12.58; 0.79555; -62.00
12.69; 0.64876; -58.00
12.79; 0.52033; -54.00
12.89; 0.38961; -61.00
12.99; 0.26484; -72.00
13.09; 0.15004; -69.00
13.20; 0.00798; -66.00
13.40; -0.26979; -56.00
13.50; -0.41579; -54.00
13.60; -0.58941; -53.00
13.70; -0.79918; -62.00
13.81; -1.05469; -68.00
13.91; -1.34157; -77.00
14.12; -1.95249; -59.00
14.22; -2.22806; -59.00
14.32; -2.50498; -59.00
14.42; -2.75344; -65.00
14.53; -2.99247; -64.00
14.63; 3.06550; -70.00
14.73; 2.84744; -61.00
14.83; 2.62296; -62.00
14.94; 2.40731; -64.00
15.04; 2.18234; -58.00
15.24; 1.76494; -57.00
15.35; 1.54868; -55.00
15.45; 1.34317; -59.00
15.55; 1.13841; -60.00
16.06; 0.22462; -63.00
16.26; -0.13308; -62.00
16.37; -0.30018; -60.00
16.47; -0.48196; -52.00
16.57; -0.66008; -57.00
16.67; -0.82126; -58.00
16.77; -0.99767; -61.00
16.88; -1.16872; -59.00
17.08; -1.51235; -60.00
17.18; -1.66919; -62.00
17.38; -1.98784; -62.00
17.48; -2.15936; -59.00
17.59; -2.31862; -60.00
17.69; -2.46222; -60.00
17.79; -2.61079; -58.00
17.89; -2.75327; -61.00
18.00; -2.88612; -71.00
18.20; -3.12177; -68.00
18.40; 2.94299; -72.00
18.60; 2.69225; -67.00
18.71; 2.52100; -61.00
18.81; 2.32750; -62.00
18.91; 2.12543; -61.00
19.01; 1.92370; -58.00
19.21; 1.52238; -58.00
19.31; 1.34490; -61.00
19.52; 1.01525; -62.00
19.72; 0.73802; -68.00
19.92; 0.44544; -54.00
20.03; 0.29296; -55.00
20.23; 0.00038; -67.00
20.34; -0.14300; -60.00
20.44; -0.26944; -59.00
20.64; -0.53820; -55.00
20.74; -0.67623; -56.00
20.84; -0.80226; -54.00
20.94; -0.92941; -59.00
21.04; -1.06864; -62.00
21.15; -1.22922; -59.00
21.35; -1.52431; -74.00
21.76; -2.21550; -65.00
22.06; -2.91491; -61.00
22.37; 2.74408; -60.00
22.47; 2.56522; -62.00
22.67; 2.21678; -64.00
22.97; 1.70673; -53.00
23.08; 1.53793; -56.00
